,Title,Artist,Link,Genre,Lyrics
0,나에게로 떠나는 여행,버즈,https://www.melon.com/song/detail.htm?songId=732516,록/메탈,나에게로 떠나는 여행저 푸른 바다 끝까지말을 달리면소금 같은 별이 떠있고사막엔 낙타만이가는 길 무수한 사랑길이 되어 열어줄 거야낡은 하모니카손에 익은 기타 Your Melody어린 왕자 Your Melody 찾아 떠날래Far away U're my sunshinewe were together나는 사랑보다좋은 추억 알게 될 거야텀블러 한잔에 널 털어 넘기고이젠 나를 좀 더 사랑할거야저 끓어 넘친 태양은 부글거리고오랜 꿈은 삐걱거리고쿨럭인 자동차를타고서 꿈의 날개로구름 속을 산책할 거야낡은 하모니카 손에익은 기타 Your Melody어린 왕자 Your Melody 찾아 떠날래Far away U're my sunshinewe were together나는 사랑보다좋은 추억 알게 될 거야For my lifeFind my life 찾아 누릴 천국에지지 않을 너를 안게 될거야Far away Ure my sunshinewe were together나는 사랑보다좋은 추억 알게 될 거야For my lifeFind my life 찾아 누릴 천국에지지 않을 너를 안게 될거야 
1,나비소녀 (Don`t Go),EXO,https://www.melon.com/song/detail.htm?songId=4130820,발라드,조그만 날갯짓 널 향한 이끌림  나에게 따라오라 손짓한 것 같아서 애절한 눈빛과 무언의 이야기  가슴에 회오리가 몰아치던 그날 밤 오묘한 그대의 모습에 넋을 놓고  하나뿐인 영혼을 뺏기고 그대의 몸짓에 완전히 취해서 숨 쉬는 것조차 잊어버린 나인데 왈츠처럼 사뿐히 앉아 눈을 뗄 수 없어 시선이 자연스레 걸음마다 널 따라가잖아 날 안내해줘 yeah 그대가 살고 있는 곳에 나도 함께 데려가줘 oh 세상의 끝이라도 뒤따라갈 테니 부디 내 시야에서 벗어나지 말아줘  아침이 와도 사라지지 말아줘 oh 꿈을 꾸는 걸음 그댄 나만의 아름다운 나비 oh woo-hoo-hoo oh yeah-  woo-hoo-hoo yeah woo-hoo-hoo 어디서 왔는지 어디로 가는지  친절히 여기까지 마중을 와준 너 가파른 오르막 깎아진 절벽도  걱정마 무엇도 두려울 것이 없으니 너는 뽐내 우아한 자태 오 난 몇 번이고 반하고 사랑은 이렇게 나도 모르게 예고도 없이 불시에 찾아와 왈츠처럼 사뿐히 앉아 눈을 뗄 수  없어 시선이 자연스레 걸음마다 널 따라가잖아 oh no 날 안내해줘 yeah 그대가 살고 있는 곳에 나도 함께 데려가줘 oh 세상의 끝이라도 뒤따라갈 테니 부디 내 시야에서 벗어나지 말아줘  아침이 와도 사라지지 말아줘 oh 꿈을 꾸는 걸음 그댄 나만의 아름다운 나비 낯선 곳을 헤맨다 해도 길을 잃어버린대도 누구보다 솔직한 나의 맘을 따를거야 조용히 눈에 띄는 몸짓강하고 부드러운 눈빛거부할 수 없는 나니까 yeah날 데려가줘yeah 그대가 살고 있는 곳에나도 함께 데려가줘oh 세상의 끝이라도 따라갈게 oh no내 시야에서 벗어나지 말아줘 아침이 와도 사라지지 말아줘 oh조그마한 손짓 나의 가슴엔 회오리가 친다
2,피터팬 (Peter Pan),EXO,https://www.melon.com/song/detail.htm?songId=4130824,댄스,낡은 일기장 먼지를 털어내 문득 펼친 곳 그 속엔 해맑게네가 있어 아직 넌 그대로 여기 남아 있어잊고 지냈던 그림이 떠올라 작은 떨림이 내 몸에 샘솟아좀 서글프긴 해 그때로 돌아갈 수 없는 게널 찾아간다 추억이 보낸 팅커벨 따라나섰던 Neverland그 곳에 내가 너와 바라보며 웃고 있어난 영원한 너의 피터팬 그 시간에 멈춘 네 남자서툴지만 너무 사랑했던 나의 너에게 다녀가널 많이 괴롭혔던 짓궂은 악당 모두 물리쳐준 기억이 생생해그 순간부터 너의 맘을 얻고 나눈 키스까지내 맘은 항상 구름 타고 날았지너는 웬디 신데렐라보다 예뻤지가슴 뛰게 만든 단 한 사람 널 느끼니까 두 눈이 빛나널 찾아간다 추억이 보낸 팅커벨 따라나섰던 Neverland그 곳에 내가 너와 바라보며 웃고 있어난 영원한 너의 피터팬 그 시간에 멈춘 네 남자서툴지만 너무 사랑했던 나의 너에게 다녀가분홍빛 감도는 얼굴구름 위를 걷는 기분Baby boo내 가슴이 두근거렸던 그림 같던 You그때 너의 눈은 살며시  웃어줬던 것처럼지금도 내 마음의 한 켠에열린 창문에 네가 날아와준다면내 동화 속 담아 놓은 널 여전히 맴도는 Sweety girl아직도 떨려 가슴 한켠너 없는 이곳은 외로운 섬 내 기억 속 적어 놓은널 지워지지 않는 Pretty girl아직도 설레어 가슴 한켠 너 없는 이곳은 어디 있을까시계의 태엽 도는 사이 얼마나 달라졌을까널 써내려간 마지막 한 장을 넘겼지만 더 읽어낼 용기가 안 나 슬픈 글은 지워낼 거야우리 얘긴 끝이 아닐 거야다시 만나볼 테니까
3,"Baby, Don`t Cry (인어의 눈물)",EXO,https://www.melon.com/song/detail.htm?songId=4130818,발라드,더는 망설이지 마 제발 내 심장을 거두어 가 그래 날카로울수록 좋아 달빛 조차도 눈을 감은 밤 나 아닌 다른 남자였다면 희극 안의 한 구절이었더라면  너의 그 사랑과 바꾼 상처 모두 태워버려 Baby don't cry tonight 어둠이 걷히고 나면 Baby don't cry tonight 없었던 일이 될 거야 물거품이 되는 것은 네가 아니야 끝내 몰라야 했던 so Baby don't cry cry 내 사랑이 널 지킬 테니 오직 서로를 향해있는 운명을 주고 받아 엇갈릴 수 밖에 없는 그 만큼 더 사랑했음을 난 알아 When you smile sun shines 언어란 틀엔 채 못 담을 찬란 온 맘에 파도 쳐 부서져 내리잖아 oh Baby don't cry tonight 폭풍이 몰아치는 밤 하늘이 무너질 듯 Baby don't cry tonight 조금은 어울리잖아  눈물보다 찬란히 빛나는 이 순간 너를 보내야 했던  So Baby don't cry cry 내 사랑이 기억될 테니 어두컴컴한 고통의 그늘 위 이별의 문턱에 내가 무참히 넘어져도 그마저도 널 위해서라면 감당할 테니  uh 대신 나를 줄게 비록 날 모르는 너에게 don`t cry 뜨거운 눈물보단 차디찬 웃음을 보여줘 Baby Say no more baby no more don`t cry 제발 망설이지는 말아줘 물거품이 될 그 찰나 Say no more baby no more don`t cry 눈부신 사람으로 남을 수 있게 차라리 그 칼로 날 태워줘 네 눈 속에 가득 차 오르는 달빛 woo 소리 없이 고통 속에 흘러 넘치는 이 밤 Baby don't cry tonight 어둠이 걷히고 나면 Baby don't cry tonight 없었던 일이 될 거야 물거품이 되는 것은 네가 아니야끝내 몰라야 했던so Baby don't cry cry내 사랑이 널 지킬 테니이른 햇살이 녹아 내린다 너를 닮은 눈부심이 내린다길을 잃은 내 눈은 이제야Cry cry cry
4,코끝에 겨울,어반자카파,https://www.melon.com/song/detail.htm?songId=4333791,발라드,점차 나아지겠지 혼자 내렸던 그 모든 결론이 마치 먼지처럼 흩어져 사라져 버리던 날그저 한숨만 내쉬던 날 도저히 견딜 수 없다 누군가 내게 건네온 계절 코끝에 먼저 와버린차가운 겨울 내내 오지 않길 기도해도 이젠 무색해져 버린 따뜻한 내 두 손 다시 어디론가 가야 하는 나 길이 있기만을 바라며두 손으로 훔쳐낸 눈물 어지러운 공기 나 숨이 막혀 가만히 두 눈을 다시 감고 내일이 오길 기도해 본다냉정한 공기가 다시 겨울을 내게 건넨다함께 나누던 공기 함께 나누던 그 모든 기억이마치 먼지처럼 흩어져 사라져 버리던 날붉어진 눈으로 거릴 헤매던 날 도저히 견딜 수 없다 누군가 내게 건네온 이별코끝에 먼저 와 버린차가운 겨울 내내 오지 않길 기도해도 이젠 무색해져 버린 따뜻한 내 두 손 다시 어디론가 가야 하는 나 길이 있기만을 바라며두 손으로 훔쳐낸 눈물 어지러운 공기 나 숨이 막혀 가만히 두 눈을 다시 감고 내일이 오길 기도해 본다냉정한 공기가 다시 겨울을 내게 건넨다슬퍼 눈을 감아슬퍼 눈을 감아
5,거꾸로 걷는다,어반자카파,https://www.melon.com/song/detail.htm?songId=4287434,발라드,돌아서기 아쉬워 거꾸로 걷는다 끝을 아는 내 발길 거꾸로 걷는다 거꾸로 걷는다 거꾸로 걷는다 돌아서기 아쉬워 거꾸로 걷는다 거꾸로 걷는다 거꾸로 걷는다 돌아서기 아쉬워 거꾸로 걷는다 눈 감아도 보이는 내 등 뒤의 길 차라리 모르는 채 거꾸로 걷는다 거꾸로 걷는다 거꾸로 걷는다 돌아서기 아쉬워 거꾸로 걷는다 거꾸로 걷는다 거꾸로 걷는다 돌아서기 아쉬워 거꾸로 걷는다 거꾸로 걷는다 거꾸로 걷는다 돌아서기 아쉬워 거꾸로 걷는다 거꾸로 걷는다 거꾸로 걷는다 돌아서기 아쉬워 거꾸로 걷는다 거꾸로 걷는다 거꾸로 걷는다 돌아서기 아쉬워 거꾸로 걷는다 
6,서울 밤 (feat. 빈지노),어반자카파,https://www.melon.com/song/detail.htm?songId=31864770,R&B;/Soul,서울의 밤 먼지를 감췄지골목골목 걸으며 Baby talk to meWalk and Talk WalkWalk with Me Walk Walk서울의 밤 먼지를 감췄지골목골목 걸으며 Baby talk to meWalk and Talk WalkWalk with Me Walk Walk아무 말도 하지 마 아무것도 묻지 마아무 이유 대지 마 그대로 여기 멈춰때론 조금 차갑고조금 복잡해도우리가 있는 서울 서울이 나는 좋아정신없이 오고 가는 사람들오다가다 마주치는 인연들다신 오지 않을 오늘의 밤너랑 나 You and me 우리 둘서울 밤Yo 서울의 밤 먼지를 감췄지골목골목 걸으며 Baby talk to meWalk and Talk WalkWalk with Me Walk WalkLet me blow your mind서울 밤서울의 밤 먼지를 감췄지골목골목 걸으며 Baby talk to meWalk and Talk WalkWalk with Me Walk Walk with MeLet me blow your mind먼진 가라앉았지잠들기엔 아쉽지밖에 나갈까 싶지 그럴까눈을 감아도 환하지Then You should hang out with me너의 집 근처에 와 있음어서 옷 입어 난 준비됐음Baby why 핼쑥 I gotta feed you삼겹살집 검색 500개 있음이럴 때면 오는 나의 결정 장애밤인데도 갈 곳들이 너무 많네네온 조명 아래 굽이굽이 curvin너랑 걷기만 해도 지금 무지 설렘너를 보는 내 눈엔 벌이 꼬이네Honey Dripping eyes on you네가 제일 예뻐 서울에서언제나 날 찾아줘난 Open for 24hours난 너의 편의점 같아정신없이 오고 가는 사람들오다가다 마주치는 인연들다신 오지 않을 오늘의 밤너랑 나 You and me 우리 둘서울 밤서울의 밤 먼지를 감췄지골목골목 걸으며 Baby talk to meWalk and Talk WalkWalk with Me Walk WalkLet me blow your mind서울 밤서울의 밤 먼지를 감췄지골목골목 걸으며 Baby talk to meWalk and Talk WalkWalk with Me Walk Walk with MeLet me blow your mind서울 밤정신없이 오고 가는 사람들오다가다 마주치는 인연들서울 밤다신 오지 않을 오늘의 밤너랑 나 You and me 우리 둘서울 밤Would u walk with meWould u walk the nightWould u spend the nightIn the city of dustWalk the night walk walkIn the city of dustI love the city
7,"그때의 나, 그때의 우리",어반자카파,https://www.melon.com/song/detail.htm?songId=30709103,R&B;/Soul,그때의 나 그때의 우리참 어리석고 어렸지그때의 우리 아무것도 아닌 일에다투던 초라할 무렵에 기억달 밝은 날에 하늘을 보면우리 상처들이 떠 있고밤 또 늦은 밤에 거릴 거닐면그때의 추억이 선명하게 따라와네가 그립거나 보고프거나그런 쉬운 감정이 아니야난 그때의 우리가 세상에우리밖에 없었던 그때가 그리울 뿐그때의 우리 소홀함과 편안함그 안에서 부서질 듯 아파했던 달 밝은 날에 하늘을 보면우리 상처들이 떠 있고밤 또 늦은 밤에 거릴 거닐면그때의 추억이 선명하게 따라와네가 그립거나 보고프거나그런 쉬운 감정이 아니야난 그때의 우리가 세상에우리밖에 없었던 그때가 그리워다시 그 시간으로 돌아가고픈가벼운 순간의 감정이 아냐난 그때의 우리가 너와 내가이 세상 전부였던 그때가 그리울 뿐그때의 나 그때의 우리
8,Boogie On & On,빈지노 (Beenzino),https://www.melon.com/song/detail.htm?songId=3843565,랩/힙합,난 괜찮아내일 아침에 소파 위에 시체가되어 이름 모르는 너와 어색한사이가 되어도I don't care at alllet's smoke drink boogie on and onboogie on and on오늘은 생각도 긴 말도필요하지 않아 풀어 긴장 좀잃어가는 시간이 너무 아까워꽉 매 너의 신발끈지각생 엎드려 뻗쳐너에게 줄 성적은 없어여선생들은 열정이 넘치는날 가르치느라 엎드려줬어입김이 서린 잔을 건넨 뒤괜히 물어봐 지금이 몇 신지그 다음엔why don't u and yo friendsget with me and my friends일행이 몇 명이니LET'S BOOGIE ON AND ON내일 우리가 서로 기억 못 해도지금 이 무르익은 분위기는멈추지 말고 가만히 내비둬 고대로난 괜찮아내일 아침에 소파 위에 시체가되어 이름 모르는 너와 어색한사이가 되어도I don't care at alllet's smoke drink boogie on and onboogie on and on내일 걱정은 뒤에 해일단 이 느낌을 이해해언제 또 올지 모르는 놀 기회에초집중을 해girl swing that ass몇 번의eye contactI saw you you saw me그럼 내가 먼저 말 걸게난 너를 알고 싶어지금 우리 둘 주위를 둘러봐왕따들은 바쁘게 눈이 굴러가걔네들은 죽어도우리 둘을 못 봐지금이야지금 내 목에 팔을 둘러봐 너만 괜찮다면 너의 허리에내 손을 올릴게 넌 어때난 괜찮아내일 아침에 소파 위에 시체가되어 이름 모르는 너와 어색한사이가 되어도I don't care at alllet's smoke drink boogie on and onboogie on and on너도 내일 아침에날 기억 못해도 돼물이든 술이든u can sip and smoke it awayI don't give a F about tommorowcuz it's sundaybring up all ya cool kidsand just hop on to this music 너도 내일 아침에날 기억 못해도 돼물이든 술이든u can sip and smoke it awayI don't give a F about tommorowcuz it's sundaybring up all ya cool kidsand just hop on to this music 
9,목요일 밤 (Feat. 빈지노),어반자카파,https://www.melon.com/song/detail.htm?songId=9613173,R&B;/Soul,평범한 목요일 밤널 데려 갈게 어디든일주일 중에 네가제일 지쳐 있을 오늘Wanna driveIf you don’t mind둘이서 갈래 어디든밤을 가득 채울너와 나 그 곳을 향해 향해Wherever you want이리 저리 치이다정해진 모든 걸 해내도 하나도 웃음 안 나고또 올 내일이 두렵고 밤은 좀 남았는데어떻게 써야할지 모르고너와 함께 밤공기를느끼고 파  지금 데리러 갈게집에 가지 말고 있어줘baby I’m on my way Maybe I’ll be there by 8 왜 너가 차빌 내야해좋은 음악이 있는오빠 차가 있잖아물론 내일 일찍일 나가야해 이런 실랑이 할 시간에조금이라도 널 봐야해 난호흡이 딸리는 목요일 밤널 생각하면서 달려가 난평범한 목요일 밤널 데려 갈게 어디든 일주일 중에 네가 제일지쳐 있을 오늘 Wanna driveIf you don’t mind둘이서 갈래 어디든 밤을 가득 채울 너와 나그 곳을 향해 향해Wherever you want 어디든 데려다 줄게건반처럼 가로등을가로지르며너의 하룰 들으며그랬어 그러면서너를 괴롭혔던바깥 세상의밤 공기를 밀며 창 밖에 내던진 음악처럼한강엔 별과 달이 시간과똑같이 흐르고 있어우린 느낄 수 있어 둘이서앞으로 더 많은 목요일에도착할 거란 걸평범한 목요일 밤널 데려갈게 어디든 Wherever you want어디가 됐건Whatever you want그 무엇이 됐건Let’s go Let’s goWanna driveIf you don’t mind둘이서 갈래 어디든 Wherever you wantWherever we want Wherever I want Wherever you wantwe’re going to yo바람을 더 느끼게창문을 더 활짝 열어줘아무 말 필요 없어그냥 나를 믿어Give it up BabyWanna driveIf you don’t mind둘이서 갈래 어디든 밤을 가득 채울너와 나 그 곳을 향해 향해Wherever you want Wherever you wantWherever we want Wherever I wantWherever you wantwe’re going to yoWherever you wantWherever we want Wherever I wantWherever you wantwe’re going to yo
10,나빠(NAPPA),Crush,https://www.melon.com/song/detail.htm?songId=32014102,R&B;/Soul,아무 말 안 해도 다 알고 있다고괜찮은척해도 다 드러나는 걸뾰로통한 입술 차가운 네 말투에왜 내 맘을 의심해네가 제일 잘 알면서미안하단 말이 입에 붙어서 yeah또 미안해 슬쩍 말을 꺼내보지만눈칫밥에 체한 넌 몸살 날라 그래 오늘은 이래저래 음 늦었어 yeah쓸데없이 핑계만 늘어놓고선 yeah날 안아줘 my baby 바보 같은 나말해줘 너에게 난나빠 아파내가 바빠 바빠서네 맘 아파아파서나빠 나빠 나빠 내가 나빠 나빠널 바래다주는 길은괜히 딴청을 피우고네 손잡으려고 해도나 좀 봐달라고 떼써도초라한 나에겐온 세상이 너인데지키지도 못할 약속을 하고또 미안하단 말만 되뇌어보지만실망 가득한 표정에발걸음은 더 느려져네 마음 바득바득 긁어놓고선난 어리광만 피워 진짜 이기적이야날 안아줘 my baby 바보 같은 나말해줘 너에게 난나빠 아파내가 바빠 바빠서네 맘 아파아파서나빠 나빠 나빠 내가 나빠 나빠
11,Tip Toe (with 이하이),Crush,https://www.melon.com/song/detail.htm?songId=32999764,R&B;/Soul,Tip tip toe tip tip toe살금 살금 movin’ onTip tip toe 아무도 모르게Tip tip toe tip tip toe발끝으로 movin’ onTip tip toe stop아무도 눈치 못채게Babe tonight alright눈이 마주친 순간넌 내가 찾던 boy둘 사이 시그널 um um um다들 바빠 각자원하는 사람 찾아빠져나가둘만 아는 곳으로That’s right내 styleLet’s rideI’ve been drinkingGet high첨 본 순간부터 girl I need u네 생각 내 생각 같아There’s no next time간절히 원했던 이 느낌심장이 간지러운듯이Tip tip toe tip tip toe살금 살금 movin’ onTip tip toe 아무도 모르게Tip tip toe tip tip toe발끝으로 movin’ onTip tip toe stop아무도 눈치 못채게Girl whip in the carLet’s take our time시간 둘 필요 없어 지금이 맞아볼륨은 젤 크게 90’s vibestake my hands 그래도 돼기분이 닿는대로santal 향기에 난 심취함넌 날 TV로만 봤겠지만실물이 나아넌 날 이미지로 봤겠지만실물이 맞아그래 너무 예쁘니까I wanna dive into your heartTip tip toe tip tip toe살금 살금 movin’ onTip tip toe 아무도 모르게Tip tip toe tip tip toe발끝으로 movin’ onTip tip toe stop아무도 눈치 못채게어느새 발걸음이 너에게로Baby let me call you te quiero처음 봤지만 어색하지않은 태도alright we ride어느새 발걸음은 너에게로Baby let me call you te quiero처음 봤지만 어색하지않은 태도alright we rideTip tip toe tip tip toe살금 살금 movin’ onTip tip toe 아무도 모르게Tip tip toe tip tip toe발끝으로 movin’ onTip tip toe stop
12,감아 (Feat. Crush),로꼬,https://www.melon.com/song/detail.htm?songId=4527879,랩/힙합,이제 익숙해지는 것 같아키가 작을 때부터 해왔던 상상마음껏 펼치고는 꿀 같은 단잠자고 일어났어 어딜 가든 나는 항상자신감 넘치게 행동해야 하지아직 많이 부족하긴 해도 끝까지이뤄낼 거야 내 꿈 너도 알지그래도 네가 있어 난 힘이 나지너의 하루는 어땠어느껴져 딱 목소리에서누가 또 네 심기에 손 댔어맞아 전부 그 사람이 잘못했어쓰다듬어주고 싶어 네 머리를오늘도 고생 많이 했어이번 주말에는 떠나자 어디든일단 눈 감아 내 팔에 기대서Baby 난 너만 담아오늘은 편하게 내게 안겨도 돼겁먹지마이 밤이 우릴 환하게 반겨주네눈을 감아두 눈을 감아허리에 팔을 감아나만 믿고 따라와쉬는 동안에도 주말마다 일이 생기지가끔은 너무 정신 없어서 내 몸도 못 챙기지내 나름대로의 욕심 때문에 압박이 머리를 조여도다 풀어냈을 때 그 시원함이 나를 무대위로 또 올려줘나도 오늘 일을 끝냈으니 편안하게 와서 안겨도 돼현실이 꼬리를 물기 전에 더 이상은 아무것도 생각하지 않기로 해괜찮아 괜찮아 우리 둘 밖에 없어네가 하고 싶은 대로 해 준비 안된 건 없어Baby 난 너만 담아오늘은 편하게 내게 안겨도 돼겁먹지마이 밤이 우릴 환하게 반겨주네눈을 감아두 눈을 감아허리에 팔을 감아나만 믿고 따라와미리 맞춰놨어 적당한 온도너 때문에 오늘 아침부터 뎁혀 놔서 따듯해 내 몸도이리 와서 누워도 돼 내 옆에 눈감고 기대봐 내 옆에잡은 손 놓지 않아 절대 네가 눈을 떠도 어디 가지 않아 절대걱정하지 마 우리가 만날 시간은 많아오늘 따라 밤이 차갑지만 곁에 있어 괜찮아편하게 눈감아 내 곁에 누워도 돼두 손을 꼭 잡고 Ma BabyBaby 난 너만 담아오늘은 편하게 내게 안겨도 돼겁먹지마이 밤이 우릴 환하게 반겨주네눈을 감아두 눈을 감아허리에 팔을 감아나만 믿고 따라와내 노래의 모든 주제가니 이야기가 아니지만니가 있었기 때문에가능한 둘의 이야기야나 때문에 너의 하루가더 즐거웠으면 좋겠어난 하지 않아 절대 말로만거짓은 하나도 안 보탰어
13,Madeleine Love,CHEEZE (치즈),https://www.melon.com/song/detail.htm?songId=5694902,"발라드, 인디음악",오늘같이 싱그러운 날길거리 차도 별로 다니지 않아 문득 지나가다 거울을 보면 오늘 내 모습은 좀 예뻐 보이네 이따가 널 보면 무슨 말을 할까 날씨가 좋다고 뻔한 말이라도 건네볼까 어색한 장난이라도 용감하게 오늘은 널 웃음 짓게 만들 거야 I’m in madeleine love I’m in madeleine love I’m in madeleine love 오늘같이 햇볕 좋은 날엔 매일 걷던 거리도 지겹지 않아 문득 지나가다 거울을 보면 내 얼굴도 이 정도면 잘생겼네 이따가 널 보면 무슨 말을 할까 날씨가 좋다고 공원이라도 좀 걷자 할까 짓궂은 장난이라도 용감하게 오늘은 널 웃음 짓게 만들 거야 I’m in madeleine love I’m in madeleine love I’m in madeleine love I’m in madeleine loveI’m in madeleine loveI’m in madeleine love
14,어떻게 생각해,CHEEZE (치즈),https://www.melon.com/song/detail.htm?songId=8228040,"R&B;/Soul, 인디음악",이른 노을지던그 하늘 아래가로수 길을 따라걷던 우리들많은 사람들과 발끝을부딪치며 걷고있어아무 생각 없이앞만 봤었고뒤에선 누군가가쫓아온 듯 해이 많은 사람들은 모두어디로 가고 있는 걸까어떻게 생각해어떻게 생각해 넌어떻게 생각해어떻게 생각해 넌난 늘 생각해난 늘 생각해야 해이제 그만 지겨워어떻게 생각해어떻게 생각해 넌어떻게 생각해 이렇게 생각해 난이제 그만 지겨워그 날 넌 기억하니예전에 우리 꿈을 나누던그 밤의 놀이터를마냥 하늘만 보며결국 잘될 거라고 얘기했지어떻게 생각해어떻게 생각해 넌어떻게 생각해어떻게 생각해 넌난 늘 생각해난 늘 생각해야 해이제 그만 지겨워어떻게 생각해어떻게 생각해 넌어떻게 생각해 이렇게 생각해 난이제 그만 지겨워바보 같던 웃음의순수했던 날 우리가오늘도 내일도매일이 그리워어떻게 생각해어떻게 생각해 넌어떻게 생각해어떻게 생각해 넌난 늘 생각해난 늘 생각해야 해이제 그만 지겨워어떻게 생각해어떻게 생각해 넌어떻게 생각해 이렇게 생각해 난이제 그만 지겨워
15,Mood Indigo,CHEEZE (치즈),https://www.melon.com/song/detail.htm?songId=8228039,"R&B;/Soul, 인디음악",When I Fall In Love그대와 함께한다면곧 사라질 꿈이라도달콤하기만 하죠지금 이 순간 난 순간을 믿어요When I Fall In Love With You어제부터 난 확신했죠매일 그린 그림이바로 당신이란 걸 내일은 꼭 얘기할래요아무 이유도 없이보고 싶었다는걸사실 혼자 많이 설레였어요그대는 아마언제인지 모르겠지만앞으로도 많이궁금해질 것 같아요당장이라도 그대를껴안고만 싶은데Oh When I Fall In Love그대와 함께한다면곧 사라질 꿈이라도달콤하기만 하죠지금 이 순간 난 순간을 믿어요When I Fall In Love With You사실 조금은 겁이 나요우리 영화에도엔딩이 있을까요그대 내 손을 꼭 잡아줘같이 걷는 이 길덕분에 따뜻해요좋은 일만매일 있을 거에요날 보며 웃는 그대그 예쁜 모습처럼앞으로는 아직걱정 안 하기로 해요난 당장이라도그대를 껴안고만 싶은데Oh When I Fall In Love그대와 함께한다면곧 사라질 꿈이라도달콤하기만 하죠지금 이 순간 난 순간을 믿어요When I Fall In Love With You늘 그대였죠부푼 기대로 잠 못 들게 했죠왠지 우린 느낌 좋아 부드럽게Oh 당장이라도그대를 껴안고만 싶은데껴안고만 싶은데Oh When I Fall In Love그대와 함께한다면곧 사라질 꿈이라도달콤하기만 하죠지금 이 순간 난 순간을 믿어요When I Fall In Love With You
